subject,light_dist_cm,illuminance_rel,threshold,clahe,ref_path,test_path,ref_face_brightness,ref_face_contrast,ref_face_sharpness,ref_face_glare_ratio,ref_left_eye_glare,ref_right_eye_glare,ref_eye_glare_mean,ref_retinaface_score,ref_face_width_px,ref_face_height_px,ref_eye_distance_px,test_face_brightness,test_face_contrast,test_face_sharpness,test_face_glare_ratio,test_left_eye_glare,test_right_eye_glare,test_eye_glare_mean,test_retinaface_score,test_face_width_px,test_face_height_px,test_eye_distance_px,cosine_dist,norm_dist,margin,confidence_pct,processing_s,verified,false_reject,detect_failed,skip_reason
s06,105,0.7347,0.4,True,./data\s06\reference.jpeg,./data\s06\105cm.jpeg,129.82382530284102,36.20287781441045,26.119032281965247,0.0,0.0,0.0,0.0,0.9992532134056091,449,615,212.5249481201172,138.74847465046923,43.456630540939564,109.43896562132937,0.0,0.0,0.0,0.0,0.9994485974311829,279,393,132.07269287109375,0.632215,1.5805,-0.232215,54.94,2.696,True,False,False,
s06,90,1.0,0.4,True,./data\s06\reference.jpeg,./data\s06\90cm.jpeg,129.82382530284102,36.20287781441045,26.119032281965247,0.0,0.0,0.0,0.0,0.9992532134056091,449,615,212.5249481201172,156.0226117886179,50.34349571891328,203.30910102536876,0.0001237752762143006,0.004375,0.0075,0.0059375,0.9990322589874268,328,468,153.18075561523438,0.544866,1.3622,-0.144866,64.05,3.219,True,False,False,
s06,75,1.44,0.4,True,./data\s06\reference.jpeg,./data\s06\75cm.jpeg,129.82382530284102,36.20287781441045,26.119032281965247,0.0,0.0,0.0,0.0,0.9992532134056091,449,615,212.5249481201172,160.91167531091406,48.234967009517625,155.8925933227986,0.00023701968657632033,0.015,0.016875,0.0159375,0.9991891980171204,387,556,182.733154296875,0.588049,1.4701,-0.188049,59.31,3.182,True,False,False,
s06,60,2.25,0.4,True,./data\s06\reference.jpeg,./data\s06\60cm.jpeg,129.82382530284102,36.20287781441045,26.119032281965247,0.0,0.0,0.0,0.0,0.9992532134056091,449,615,212.5249481201172,167.56955335781663,48.950819097654225,89.28137836744989,0.0002621032260030782,0.02375,0.02625,0.025,0.9987447261810303,479,685,225.75108337402344,0.639806,1.5995,-0.239806,54.24,3.221,True,False,False,
s06,45,4.0,0.4,True,./data\s06\reference.jpeg,./data\s06\45cm.jpeg,129.82382530284102,36.20287781441045,26.119032281965247,0.0,0.0,0.0,0.0,0.9992532134056091,449,615,212.5249481201172,168.0273721447342,46.374356041122574,185.07167827906883,0.0002223569840307257,0.0275,0.035625,0.0315625,0.9987518787384033,582,850,276.6872863769531,0.643599,1.609,-0.243599,53.9,3.032,True,False,False,
s06,30,9.0,0.4,True,./data\s06\reference.jpeg,./data\s06\30cm.jpeg,129.82382530284102,36.20287781441045,26.119032281965247,0.0,0.0,0.0,0.0,0.9992532134056091,449,615,212.5249481201172,160.2530753968254,48.03480196657394,99.05084725819303,0.0002587991718426501,0.028125,0.011875,0.02,0.9982861876487732,690,1008,319.4018859863281,0.642179,1.6054,-0.242179,54.03,2.972,True,False,False,
s06,15,36.0,0.4,True,./data\s06\reference.jpeg,./data\s06\15cm.jpeg,129.82382530284102,36.20287781441045,26.119032281965247,0.0,0.0,0.0,0.0,0.9992532134056091,449,615,212.5249481201172,40.24345012626262,13.77100573703051,11.813785084577994,0.0,0.0,0.0,0.0,0.9990056157112122,264,336,124.05262756347656,0.647898,1.6197,-0.247898,53.52,3.278,True,False,False,
s07,135,0.4444,0.4,True,./data\s07\reference.jpeg,./data\s07\135cm.jpeg,120.50307853348677,51.38267197655561,166.6373113974848,0.0,0.0,0.0,0.0,0.9995459914207458,501,614,238.3154296875,111.58033836677656,51.601158079963824,636.5802722601343,0.006783616210129296,0.060625,0.08875,0.07468749999999999,0.9990830421447754,237,311,111.31784057617188,0.978423,2.4461,-0.578423,0.02,2.711,False,True,False,
s07,120,0.5625,0.4,True,./data\s07\reference.jpeg,./data\s07\120cm.jpeg,120.50307853348677,51.38267197655561,166.6373113974848,0.0,0.0,0.0,0.0,0.9995459914207458,501,614,238.3154296875,113.94714523701347,64.31985502839699,1626.890162584307,0.016820637084153666,0.06625,0.09875,0.0825,0.999352753162384,279,355,129.83193969726562,0.806955,2.0174,-0.406955,7.72,2.829,False,True,False,
s07,105,0.7347,0.4,True,./data\s07\reference.jpeg,./data\s07\105cm.jpeg,120.50307853348677,51.38267197655561,166.6373113974848,0.0,0.0,0.0,0.0,0.9995459914207458,501,614,238.3154296875,126.23225028199022,57.1187598818631,613.1514476846438,0.020828111292141873,0.085,0.201875,0.1434375,0.9994722008705139,316,404,146.9051971435547,0.518838,1.2971,-0.118838,67.06,2.84,True,False,False,
